The printer needs paper.	Der Drucker braucht Papier.
I'm proud of my children.	Ich bin stolz auf meine Kinder.
I'm proud to be Canadian.	Ich bin stolz, Kanadier zu sein.
I'm proud to be Canadian.	Ich bin stolz, Kanadierin zu sein.
I'm ready for a vacation.	Ich bin urlaubsreif.
I'm really happy for you.	Ich freue mich wirklich für dich.
I'm really happy for you.	Ich freue mich wirklich für Sie.
I'm really into football.	Ich interessiere mich sehr für Fußball.
I'm really into football.	Ich interessiere mich sehr für American Football.
I'm really tired tonight.	Ich bin heute Abend echt müde.
I'm running out of ideas.	Ich habe keine Ideen mehr.
I'm so happy for you two.	Ich freue mich so für euch beide.
I'm so happy to meet you.	Ich freue mich ja so, dich kennenzulernen!
I'm so happy you're here.	Ich bin so froh, dass du hier bist!
I'm sorry I let you down.	Es tut mir leid, dass ich dich enttäuscht habe.
I'm sorry I let you down.	Es tut mir leid, dass ich Sie enttäuscht habe.
I'm sorry I let you down.	Es tut mir leid, dass ich euch enttäuscht habe.
I'm sorry for what I did.	Was ich gemacht habe, tut mir leid.
I'm sorry for what I did.	Ich bedauere das, was ich getan habe.
I'm sorry. I didn't know.	Tut mir leid. Das wusste ich nicht.
I'm staying at my aunt's.	Ich übernachte bei meiner Tante.
I'm still a little dizzy.	Mir ist noch immer etwas schwindlig.
I'm still a little woozy.	Ich bin immer noch ein wenig benommen.
I'm sure you'll like Tom.	Ich bin sicher, du wirst Tom mögen.
I'm sure you'll like Tom.	Ich bin sicher, dass ihr Tom mögen werdet.
I'm sure you'll like Tom.	Ich bin mir sicher, dass Tom Ihnen gefallen wird.
I'm surprised to see you.	Ich bin überrascht, dich zu sehen.
I'm thankful to be alive.	Ich bin froh, am Leben zu sein.
I'm thankful to be alive.	Ich bin dankbar, dass ich noch lebe.
I'm the man of the house.	Ich bin der Herr im Haus.
I'm thinking of the plan.	Ich denke über diesen Plan nach.
I'm tired of watching TV.	Ich bin es müde fernzusehen.
I'm tired of watching TV.	Ich habe keine Lust mehr fernzusehen.
I'm too busy to help him.	Ich bin zu beschäftigt, um ihm zu helfen.
I'm toying with the idea.	Ich spiele mit dem Gedanken.
I'm used to eating alone.	Ich bin es gewohnt, allein zu essen.
I'm used to living alone.	Ich bin es gewohnt, allein zu wohnen.
I'm very busy these days.	Ich bin dieser Tage sehr beschäftigt.
I'm very glad to be here.	Ich bin sehr froh, hier zu sein.
I'm very glad to see you.	Ich bin sehr froh, dich zu sehen.
I'm very glad to see you.	Ich bin sehr froh, dich zu treffen.
I'm very grateful to you.	Ich bin dir sehr dankbar.
I'm very grateful to you.	Ich bin Ihnen sehr dankbar.
I'm very mindful of that.	Ich bin mir dessen sehr bewusst.
I'm very proud of my son.	Ich bin sehr stolz auf meinen Sohn.
I'm very tired from work.	Ich bin von der Arbeit sehr müde.
I'm willing to apologize.	Ich bin gewillt, mich zu entschuldigen.
I'm working in Tokyo now.	Ich arbeite jetzt in Tōkyō.
I'm working in Tokyo now.	Ich arbeite gerade in Tōkyō.
I'm worth more than this.	Ich bin mehr wert.
I've been busy this week.	Ich war diese Woche beschäftigt.
I've been here for hours.	Ich bin schon seit Stunden da.
I've been to Kyoto twice.	Ich war zwei Mal in Kyoto.
I've come to say goodbye.	Ich bin gekommen, um mich zu verabschieden.
I've found something out.	Ich hab was rausgefunden.
I've found something out.	Ich habe etwas herausgefunden.
I've got a few questions.	Ich habe ein paar Fragen.
I've got my own problems.	Ich habe eigene Probleme.
I've got to get Tom home.	Ich muss Tom nach Hause bringen.
I've got to speak to Tom.	Ich muss mit Tom sprechen.
I've got to speak to you.	Ich muss mit dir sprechen.
I've just finished lunch.	Ich bin gerade mit dem Mittagessen fertig geworden.
I've known him for years.	Ich kenne ihn schon seit Jahren.
I've known you for years.	Ich kenne dich seit Jahren.
I've known you for years.	Ich kenne Sie seit Jahren.
I've known you for years.	Ich kenne euch seit Jahren.
I've never been so moved.	Ich war noch nie so gerührt.
I've never been so tired.	Ich war noch nie so müde.
I've never been to Paris.	Ich bin noch nie in Paris gewesen.
I've never felt so alive.	Ich fühlte mich nie so lebendig.
I've never killed anyone.	Ich habe nie jemanden umgebracht.
I've never worn a tuxedo.	Ich habe nie einen Smoking getragen.
I've painted the ceiling.	Ich habe die Decke angestrichen.
I've read a lot of books.	Ich habe viele Bücher gelesen.
I've run out of patience.	Meine Geduld ist am Ende.
I've told Tom everything.	Ich habe Tom alles erzählt.
I've told you everything.	Ich habe dir alles erzählt.
If Tom goes, I will, too.	Wenn Tom geht, dann gehe ich auch.
If you can, come with us.	Komm mit uns, wenn du kannst.
If you want to, we'll go.	Wenn du willst, dann gehen wir.
In a word, life is short.	Mit einem Wort, das Leben ist kurz.
Iron is harder than gold.	Eisen ist härter als Gold.
Iron transmits heat well.	Eisen leitet Wärme recht gut.
Is Father in the kitchen?	Ist Vater in der Küche?
Is Tom going to be there?	Wird Tom da sein?
Is a thousand yen enough?	Reichen tausend Yen?
Is it OK if I touch this?	Darf ich das mal anfassen?
Is it anything like mine?	Ist es so etwas wie meins?
Is it anything like mine?	Ist es so etwas wie meines?
Is it hot enough for you?	Ist es dir scharf genug?
Is it really that simple?	Ist es wirklich so einfach?
Is it something pressing?	Ist es etwas Dringendes?
Is it this hot every day?	Ist es jeden Tag so heiß?
Is it very far from here?	Ist es sehr weit von hier entfernt?
Is it your fault or ours?	Ist das Ihr Fehler oder unserer?
Is she single or married?	Ist sie ledig oder verheiratet?
Is that Tom's MP3 player?	Ist das Toms MP3-Spieler?
Is that a trick question?	Ist das eine Fangfrage?
Is that all Tom told you?	Ist das alles, was Tom dir sagte?
Is that all Tom told you?	Ist das alles, was Tom euch sagte?
Is that all Tom told you?	Ist das alles, was Tom Ihnen sagte?
Is that even a real word?	Gibt es das Wort überhaupt?
Is that really important?	Ist das wirklich wichtig?
Is that really necessary?	Muss das wirklich sein?
Is that something for me?	Ist das für mich?
Is that why you did this?	Ist das der Grund, warum du das getan hast?
Is that why you're upset?	Ärgerst du dich deshalb?
Is the baby able to walk?	Kann das Baby laufen?
Is the castle open today?	Ist das Schloss heute geöffnet?
Is the castle open today?	Hat das Schloss heute geöffnet?
Is the museum open today?	Ist das Museum heute geöffnet?
Is there a zoo in Boston?	Gibt es in Boston einen Zoo?
Is there an ATM close by?	Gibt es hier in der Nähe einen Geldautomaten?
Is there an app for that?	Gibt es dafür eine App?
Is there any mail for me?	Irgendwelche Post für mich?
Is there any room for me?	Gibt es ein Zimmer für mich?
Is there any tax on this?	Ist das irgendwie zu versteuern?
Is there any tax on this?	Ist dafür eine Steuer zu entrichten?
Is there something wrong?	Stimmt etwas nicht?
Is there still any sugar?	Ist noch Zucker da?
Is this a duty-free shop?	Ist das hier ein Duty-Free-Geschäft?
Is this a trick question?	Ist das eine Fangfrage?
Is this bag yours or his?	Ist das deine oder seine Tasche?
Is this cage shark-proof?	Ist dieser Käfig haisicher?
Is this cage shark-proof?	Ist dieser Käfig haifischsicher?
Is this fish still alive?	Ist der Fisch noch lebendig?
Is this fish still alive?	Lebt dieser Fisch noch?
Is this really happening?	Passiert das hier gerade wirklich?
Is this really spaghetti?	Sind das wirklich Spaghetti?
Is this tea set complete?	Ist dieses Teeservice vollständig?
Is this typewriter yours?	Ist das Eure Schreibmaschine?
Is this typewriter yours?	Ist diese Schreibmaschine die Ihre?
Is this why you hired me?	Haben Sie mich deshalb eingestellt?
Is this your first visit?	Ist dies dein erster Besuch?
Is this your first visit?	Ist dies Ihr erster Besuch?
Is this your idea of fun?	Stellst du dir das unter Spaß vor?
Is this your idea of fun?	Stellt ihr euch das unter Spaß vor?
Is this your idea of fun?	Stellen Sie sich das unter Spaß vor?
Is your name on the list?	Steht dein Name auf der Liste?
Is your wife a good cook?	Ist deine Frau eine gute Köchin?
Isn't that your car, Tom?	Ist das nicht dein Auto, Tom?
It can happen to anybody.	Es kann jedem passieren.
It could get complicated.	Es könnte schwierig werden.
It could have been worse.	Es hätte schlimmer sein können.
It could've been a trick.	Es hätte ein Trick sein können.
It didn't seem to matter.	Es kam anscheinend nicht darauf an.
It doesn't always happen.	Das passiert nicht immer.
It doesn't belong to you.	Das gehört dir nicht.
It doesn't belong to you.	Das gehört euch nicht.
It doesn't belong to you.	Das gehört Ihnen nicht.
It doesn't look too hard.	Das sieht nicht allzu schwierig aus.
It doesn't matter anyway.	Es ist ohnehin nicht wichtig.
It doesn't mean anything!	Das bedeutet nichts!
It doesn't mean anything!	Das besagt nichts.
It doesn't mean anything.	Es besagt nichts.
It doesn't really matter.	Das ist eigentlich egal.
It doesn't sound natural.	Das hört sich nicht natürlich an.
It doesn't work that way.	So funktioniert das nicht.
It feels good to be back.	Es ist schön, wieder mit dabeizusein.
It gets dark at five now.	Es wird jetzt um füng dunkel.
It got cold after sunset.	Nach Sonnenuntergang wurde es kalt.
It got colder day by day.	Es wurde von Tag zu Tag kälter.
It happened for a reason.	Das ist aus einem bestimmten Grund passiert.
It happened in Milwaukee.	Es geschah in Milwaukee.
It happened last October.	Es geschah letzten Oktober.
It happened one year ago.	Es geschah vor einem Jahr.
It has sentimental value.	Das hat einen sentimentalen Wert.
It has to mean something.	Es muss etwas bedeuten.
It has to mean something.	Das muss was bedeuten.
It hasn't been that long.	So lange ist es noch gar nicht gewesen.
It is going to rain soon.	Es wird bald regnen.
It is he who is to blame.	Er ist es, der schuld ist.
It is next to impossible.	Das ist fast unmöglich.
It is nice and cool here.	Es ist schön kühl hier.
It is nice and cool here.	Es ist angenehm kühl hier.
It is no use complaining.	Es bringt nichts, sich zu beschweren.
It is no use going there.	Es bringt nichts, dorthin zu gehen.
It is no use going there.	Es hat keinen Zweck, dort hinzugehen.
It is none the less true.	Trotzdem ist es wahr.
It is none the less true.	Es ist trotzdem immer noch wahr.
It is not necessarily so.	Das ist nicht unbedingt der Fall.
It is quite a big number.	Es ist eine ziemlich große Nummer.
It is really nice of you.	Das ist echt nett von euch.
It is really nice of you.	Das ist wirklich freundlich von ihnen.
It is smaller than Tokyo.	Sie ist kleiner als Tokyo.
It is smaller than Tokyo.	Es ist kleiner als Tokio.
It is the in thing to do.	Das ist die Sache, die jetzt getan werden muss.
It is unfortunately true.	Unglücklicherweise stimmt es.
It is wrong to tell lies.	Es ist falsch zu lügen.
It is wrong to tell lies.	Zu lügen ist unrecht.
It is wrong to tell lies.	Es ist nicht recht zu lügen.
It must be a coincidence.	Das muss ein Zufall sein.
It must be past midnight.	Es muss bereits nach Mitternacht sein.
It must be past midnight.	Mitternacht muss schon vorbei sein.
It rained for three days.	Der Regen hielt drei Tage an.
It rained for three days.	Es regnete drei Tage lang.
It rained for three days.	Es hat drei Tage lang geregnet.
It rained hard yesterday.	Es hat gestern stark geregnet.
It really doesn't matter.	Es macht nun wirklich keinen Unterschied.
It seems that he's happy.	Es scheint, dass er glücklich ist.
It sounds like a fun job.	Das klingt nach einer Arbeit, die Spaß macht.
It sounds simple, I know.	Das klingt simpel, ich weiß.
It sounds very plausible.	Das hört sich plausibel an.
It turned out to be true.	Es stellte sich als wahr heraus.
It turned out to be true.	Das stellte sich als wahr heraus.
It was a beautiful night.	Es war eine schöne Nacht.
It was a beautiful sight.	Es war ein herrlicher Anblick.
It was a foolish mistake.	Das war ein dämlicher Fehler.
It was a partial success.	Es war ein Teilerfolg.
It was a partial success.	Es war ein teilweiser Erfolg.
It was a partial success.	Es war ein partieller Erfolg.
It was a simple decision.	Es war eine einfache Entscheidung.
It was a terrible affair.	Es war eine fürchterliche Angelegenheit.
It was a very dark night.	Es war eine sehr dunkle Nacht.
It was a well-aimed shot.	Das war ein gut gezielter Schuss.
It was an act of courage.	Das war eine mutige Tat.
It was beginning to snow.	Langsam fing es an zu schneien.
It was cloudy that night.	In jener Nacht war es bewölkt.
It was eight meters long.	Es war acht Meter lang.
It was just as I thought.	Es war genau so, wie ich es gedacht hatte.
It was like a fairy tale.	Es war wie im Märchen.
It wasn't much of a view.	Die Aussicht war nicht berauschend.
It wasn't the first time.	Das war nicht das erste Mal.
It wasn't what we wanted.	Es war nicht, was wir gewollt hatten.
It won't change anything.	Das wird nichts ändern.
It won't cost you a dime.	Es wird dich keinen Heller kosten.
It won't cost you a dime.	Es kostet dich keinen Pfennig.
It won't hurt, I promise.	Es wird nicht weh tun. Versprochen!
It would've been so easy.	Es wäre so einfach gewesen!
It'll just take a moment.	Es wird nur einen Augenblick dauern.
It's 7:50 in the morning.	Es ist 7:50 Uhr.
It's a beautiful country.	Es ist ein wunderschönes Land.
It's a complete disaster.	Es ist eine totale Katastrophe.
It's a complicated story.	Es ist eine komplizierte Geschichte.
It's a new movie theater.	Das ist ein neues Kino.
It's a normal phenomenon.	Das ist ein ganz normales Phänomen.
It's a quarter past nine.	Es ist Viertel nach neun.
It's a sign of the times.	Das ist ein Zeichen der Zeit.
It's a very strange case.	Es ist ein sehr seltsamer Fall.
It's a well-to-do family.	Das ist eine gut situierte Familie.
It's about time to start.	Es wird langsam Zeit, anzufangen.
It's against my religion.	Das ist wider meine Religion.
It's against my religion.	Das ist gegen meine Religion.
It's all over between us.	Zwischen uns ist alles vorbei.
It's all over between us.	Es ist aus zwischen uns.
It's an optical illusion.	Das ist eine optische Täuschung.
It's as clear as crystal.	Das ist glasklar.
It's as good as finished.	Es ist so gut wie fertig.
It's cool today for July.	Dafür, dass wir Juli haben, ist es heute kühl.
It's dangerous out there.	Da draußen lauern Gefahren.
It's dangerous out there.	Es ist gefährlich da draußen.
It's extremely dangerous.	Es ist äußerst gefährlich.
It's extremely dangerous.	Das ist äußerst gefährlich.
It's for my personal use.	Es ist für meinen persönlichen Gebrauch.
